Area,BHK,Bathroom,Furnishing,Locality,Price,Transaction
1150.0,3,2.0,Semi-Furnished,Dwarka Sector 16B,6800000,New_Property
1525.0,3,3.0,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",14200000,Resale
900.0,1,1.0,Semi-Furnished,Lajpat Nagar 3,8900000,Resale
1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,37500000,New_Property
1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,30000000,New_Property
1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,21000000,Resale
2925.0,4,4.0,Unfurnished,Lajpat Nagar 3,57500000,New_Property
1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,30000000,Resale
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,30000000,New_Property
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,31500000,Resale
2200.0,3,3.0,Unfurnished,Lajpat Nagar 3,30000000,Resale
1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,41500000,New_Property
1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,24800000,Resale
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,35000000,Resale
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,40000000,Resale
2880.0,4,5.0,Unfurnished,Lajpat Nagar 3,46000000,New_Property
2700.0,4,4.0,Semi-Furnished,Lajpat Nagar 3,55000000,Resale
1400.0,3,3.0,Unfurnished,Lajpat Nagar 3,24500000,Resale
1800.0,3,3.0,Unfurnished,Lajpat Nagar 3,24500000,Resale
1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,32500000,New_Property
1000.0,2,2.0,Furnished,Lajpat Nagar 3,20000000,Resale
8000.0,4,5.0,Semi-Furnished,Lajpat Nagar,240000000,New_Property
1000.0,2,2.0,Furnished,Lajpat Nagar 3,20000000,Resale
1700.0,3,3.0,Furnished,Lajpat Nagar 3,19000000,Resale
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,26000000,Resale
1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,21000000,Resale
1700.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,27500000,Resale
1400.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,32500000,New_Property
1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,45000000,New_Property
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,21000000,Resale
1700.0,3,3.0,Unfurnished,Lajpat Nagar 3,28000000,Resale
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,29500000,Resale
1500.0,1,2.556085918854415,Unfurnished,Lajpat Nagar 2,13500000,Resale
800.0,2,2.0,Unfurnished,Lajpat Nagar 2,14000000,New_Property
1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000,New_Property
1350.0,2,2.0,Furnished,Lajpat Nagar 2,12500000,Resale
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000,New_Property
750.0,2,2.0,Semi-Furnished,"Vinoba Puri, Lajpat Nagar",11500000,New_Property
850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,14600000,Resale
1575.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,25500000,New_Property
1675.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,31000000,New_Property
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,22000000,Resale
900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,13400000,New_Property
1800.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,35000000,New_Property
900.0,2,2.0,Furnished,Lajpat Nagar 2,11000000,Resale
900.0,2,2.0,Unfurnished,"Vinoba Puri, Lajpat Nagar",6300000,Resale
900.0,2,2.0,Furnished,Lajpat Nagar 2,12500000,Resale
800.0,2,2.0,Unfurnished,Lajpat Nagar 2,14500000,New_Property
1100.0,2,3.0,Semi-Furnished,Lajpat Nagar 2,22500000,New_Property
810.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15500000,New_Property
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000,New_Property
900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,15800000,New_Property
825.0,2,2.0,Unfurnished,Lajpat Nagar 2,15000000,New_Property
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,13000000,New_Property
875.0,2,2.0,Unfurnished,Lajpat Nagar 2,15000000,New_Property
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,25000000,New_Property
750.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,16500000,New_Property
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,10300000,New_Property
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,26000000,New_Property
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,11000000,Resale
1800.0,3,3.0,Unfurnished,Lajpat Nagar 2,28500000,New_Property
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,11000000,Resale
900.0,2,1.0,Furnished,Budh Vihar,11000000,Resale
810.0,3,2.0,Semi-Furnished,Budh Vihar,4500000,Resale
450.0,2,1.0,Unfurnished,"Budh Vihar super area 50 sqyrd status Ready to Move floor Ground out of 2 floors transaction Resale furnishing Unfurnished facing East car parking 1 Open bathroom 1 balcony 2 ownership Freehold For Sale 2 BHK 50 yrd, 2 side open Ground Floor, First and Second Floor in H Block, Gali No. 04, Near Laxmi Narain Mandir, BudhVihar read more Contact Agent View Phone No. Share Feedback Agent Sahyog Properties 1000+ Buyers Served",3600000,Resale
100.0,3,2.0,Furnished,Budh Vihar Phase 1,4300000,New_Property
900.0,3,2.0,Semi-Furnished,Budh Vihar,4000000,Resale
500.0,2,2.0,Semi-Furnished,Budh Vihar Phase 1,1650000,Resale
450.0,1,1.0,Furnished,Budh Vihar,2000000,Resale
75.0,2,2.0,Semi-Furnished,Budh Vihar,3000000,Resale
270.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,1400000,Resale
500.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,2000000,Resale
444.0,2,2.0,Unfurnished,Budh Vihar Phase 1,2000000,Resale
400.0,1,1.0,Furnished,Budh Vihar,2000000,Resale
729.0,3,4.0,Furnished,Budh Vihar,2600000,Resale
4050.0,6,3.0,Furnished,Budh Vihar Phase 1,5100000,Resale
2400.0,6,4.0,Furnished,Budh Vihar Phase 2,6000000,Resale
450.0,2,2.0,Furnished,Budh Vihar,4000000,Resale
405.0,2,3.0,Furnished,Budh Vihar Phase 2,6200000,Resale
666.0,1,2.0,Furnished,Budh Vihar Phase 1,3500000,Resale
1000.0,2,2.0,Semi-Furnished,"Saptrishi Apartment, Rohini Sector 23",7600000,Resale
1360.0,4,3.0,Semi-Furnished,Rohini Sector 24,13500000,New_Property
1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,12500000,New_Property
850.0,3,2.0,Semi-Furnished,Rohini Sector 23,6500000,New_Property
2170.0,4,4.0,Unfurnished,Rohini Sector 23,22000000,New_Property
720.0,3,2.0,Semi-Furnished,Rohini Sector 23,6000000,New_Property
850.0,3,2.0,Semi-Furnished,Rohini Sector 23,7300000,New_Property
950.0,3,2.0,Semi-Furnished,Rohini Sector 23,7600000,New_Property
2300.0,4,4.0,Semi-Furnished,Rohini Sector 23,20000000,New_Property
1300.0,4,4.0,Semi-Furnished,Rohini Sector 22,15000000,New_Property
1100.0,3,2.0,Semi-Furnished,Rohini Sector 20,6200000,New_Property
1030.0,3,2.0,Furnished,Rohini Sector 20,6200000,New_Property
350.0,1,1.0,Semi-Furnished,"Rohini ( 1 km from Shahbad Dairy, Rohini)",2300000,New_Property
750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000,New_Property
720.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4700000,New_Property
800.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5500000,New_Property
350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2000000,New_Property
980.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",7300000,New_Property
1600.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",13000000,New_Property
1450.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",11500000,New_Property
445.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2800000,New_Property
380.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2200000,New_Property
680.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4400000,New_Property
1600.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",13500000,New_Property
630.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4100000,New_Property
1500.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",12000000,New_Property
550.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",3500000,New_Property
2500.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",15000000,New_Property
2800.0,5,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",17500000,New_Property
300.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1900000,New_Property
800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5500000,New_Property
1295.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",10000000,New_Property
700.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4700000,New_Property
350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2400000,New_Property
450.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",3800000,New_Property
2200.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",23000000,New_Property
2300.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",24500000,New_Property
1150.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",10000000,New_Property
800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5500000,New_Property
850.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",7000000,New_Property
720.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",6500000,New_Property
4688.0,5,4.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",135000000,New_Property
750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000,New_Property
3901.0,4,4.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",93000000,New_Property
950.0,3,2.0,Furnished,"Uttam Nagar Floors, Uttam Nagar",4370000,New_Property
1000.0,3,2.0,Unfurnished,"Virat Residency, Dwarka Mor",4620000,New_Property
850.0,2,1.0,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",1900000,New_Property
2400.0,4,4.0,Semi-Furnished,"Find Homes, Greater Kailash 2",70000000,New_Property
1350.0,3,2.0,Unfurnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",5130000,New_Property
540.0,2,2.0,Semi-Furnished,"Adarsh Homes, Dwarka Mor",3000000,New_Property
1387.0,4,4.0,Unfurnished,"Delhi Homes Yojana, Dwarka Sector 24",5890000,New_Property
540.0,2,2.0,Semi-Furnished,"Kushwaha Homes, Uttam Nagar",3300000,New_Property
976.0,2,2.0,Furnished,"Godrej South Estate, Okhla",24900000,New_Property
1050.0,3,2.0,Unfurnished,"The Elite Spire, Dwarka Sector 21",3700000,New_Property
2700.0,4,3.0,Semi-Furnished,"APL Builder Floor, Greater Kailash 1",60000000,New_Property
1500.0,3,2.0,Unfurnished,"Kunj Vihar Apartment, Dwarka Sector 12",17400000,Resale
2900.0,5,5.0,Furnished,Janakpuri Block A3,51000000,New_Property
5025.0,5,6.0,Unfurnished,Greater Kailash 2,170000000,New_Property
1000.0,3,2.0,Semi-Furnished,"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510000,New_Property
1135.0,3,3.0,Furnished,"The Amaryllis, Karol Bagh",25000000,Resale
2306.0,3,3.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",57000000,New_Property
850.0,2,2.0,Semi-Furnished,"Diamond Heights Multi Estate, Najafgarh",2940000,New_Property
1200.0,3,3.0,Semi-Furnished,"Ashirwad Apartments, Dwarka Sector 12",15500000,Resale
1700.0,3,2.0,Semi-Furnished,"Sunny Valley Apartments, Dwarka",17200000,Resale
1800.0,4,3.0,Semi-Furnished,"Vasant Vihar Builder Floor, Vasant Vihar",55000000,Resale
1100.0,2,2.0,Semi-Furnished,Vasant Kunj,15000000,Resale
22050.0,4,4.0,Semi-Furnished,Greater Kailash 1,51000000,New_Property
1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,13000000,New_Property
1600.0,3,3.0,Semi-Furnished,Greater Kailash 1,30000000,New_Property
700.0,2,2.0,Semi-Furnished,"Khanpur, Madangir",2400000,New_Property
45.0,4,3.0,Unfurnished,"Batla House, Okhla",5500000,New_Property
3510.0,4,4.0,Semi-Furnished,"Friends Colony West, New Friends Colony",45000000,Resale
4500.0,4,4.0,Semi-Furnished,New Friends Colony,60000000,New_Property
1800.0,4,4.0,Semi-Furnished,New Friends Colony,65000000,New_Property
6000.0,5,5.0,Semi-Furnished,"Maharani Bagh, New Friends Colony",220000000,New_Property
4300.0,4,4.0,Unfurnished,"New Friends Colony carpet area 4300 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Unfurnished facing North - East overlooking Garden/Park, Main Road car parking 2 Covered, 2 Open bathroom 4 balcony 3 ownership Freehold hurry up... dont waste time any where, It is best deal in your pocket budget.well maintained second floor with terrace garden plus 2 additional room on terrace up for sale in new friends colony.the property has 4 king sized bedroom attached bathroom with roof top shower with Jacuzzi. It has 3 big balconies with wonderful outer view. It has modular kitchen with new fittings. It has servant quarter pooja room study room store room etc. It has drawing & dining. It has 2 car parking with gated society. It has 247 hours water supply with full power backup. It is in amazing location. read more Contact Agent View Phone No. Share Feedback Crisil Silver Agent Sagar Home Developers Pvt. Ltd. 1000+ Buyers Served",60000000,Resale
1700.0,3,3.0,Semi-Furnished,"Friends Colony East, New Friends Colony",38500000,New_Property
2500.0,3,3.0,Semi-Furnished,"Maharani Bagh, New Friends Colony",50000000,Resale
4500.0,4,4.0,Semi-Furnished,New Friends Colony,75000000,New_Property
2450.0,4,4.0,Furnished,"Friends Colony West, New Friends Colony",70000000,New_Property
10350.0,4,7.0,Semi-Furnished,"Maharani Bagh, New Friends Colony",160000000,New_Property
4800.0,3,4.0,Semi-Furnished,"Maharani Bagh, New Friends Colony",85000000,Resale
1600.0,3,3.0,Semi-Furnished,New Friends Colony,40000000,Resale
3500.0,4,4.0,Unfurnished,New Friends Colony,90000000,Resale
2100.0,4,5.0,Semi-Furnished,New Friends Colony,56000000,New_Property
4200.0,5,5.0,Semi-Furnished,"Friends Colony East, New Friends Colony",135500000,New_Property
1500.0,3,3.0,Semi-Furnished,New Friends Colony,60000000,New_Property
8150.0,4,5.0,Unfurnished,"Maharani Bagh, New Friends Colony",170000000,New_Property
2200.0,4,4.0,Semi-Furnished,"Kalindi Colony, Maharani Bagh, New Friends Colony",50000000,Resale
3500.0,4,5.0,Semi-Furnished,New Friends Colony,58000000,New_Property
2070.0,3,3.0,Semi-Furnished,"Friends Colony East, New Friends Colony",37500000,New_Property
3500.0,3,3.0,Unfurnished,"Maharani Bagh, New Friends Colony",45000000,Resale
2000.0,4,4.0,Semi-Furnished,New Friends Colony,70000000,New_Property
2800.0,6,4.0,Semi-Furnished,"Taimoor Enclave, New Friends Colony carpet area 2800 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing East overlooking Garden/Park society Taimoor Enclave car parking 2 Covered, 1 Open bathroom 4 balcony 2 ownership Freehold Two floor of the house is available for sale SECOND AND THIRD FLOOR EXTRA made, provision for LIFT can be provided by the OWNER .DDA FLATS of TAIMOOR ENCLAVE, NEAR GURUDWARA, NEW FRIENDS COLONY, SOUTH DELHI , HOUSE IS ON THE SECOND FLOOR have 3 bed room and 2 wash room and and same on the Third Floor, URGENT SALE, BROKER EXCUSE. read more Contact Agent View Phone No. Share Feedback Agent Delhi Homes 100+ Buyers Served",29500000,Resale
2550.0,4,4.0,Unfurnished,New Friends Colony,60000000,Resale
4500.0,4,4.0,Semi-Furnished,New Friends Colony,70000000,Resale
1400.0,3,3.0,Semi-Furnished,New Friends Colony,50000000,New_Property
2800.0,4,5.0,Semi-Furnished,New Friends Colony,75000000,New_Property
2700.0,4,4.0,Semi-Furnished,"New Friends Colony Floors, New Friends Colony",52500000,New_Property
4500.0,4,4.0,Semi-Furnished,New Friends Colony,55000000,Resale
7200.0,4,4.0,Semi-Furnished,"Maharani Bagh, New Friends Colony",120000000,Resale
2799.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",65000000,New_Property
2650.0,4,4.0,Unfurnished,"Kailash Colony, Greater Kailash",75000000,New_Property
2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",47500000,New_Property
3500.0,5,5.0,Semi-Furnished,"Kailash Colony, Greater Kailash",70000000,New_Property
2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",47500000,New_Property
2200.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",40000000,New_Property
3500.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",85000000,New_Property
1440.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",26000000,New_Property
3150.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",35000000,Resale
900.0,2,2.0,Semi-Furnished,"Kailash Colony, Greater Kailash",20000000,Resale
